("drizzled", [1])
("dromio", [219])
("dromios", [1])
("drone", [1])
("drop", [6])
("dross", [1])
("drown", [1])
("drowned", [1])
("drudge", [1])
("drugs", [1])
("drunk", [1])
("drunkard", [1])
("drunken", [1])
("dry", [2])
("dryfoot", [1])
("ducats", [10])
("due", [5])
("duke", [39])
("dukes", [2])
("dull", [4])
("durance", [1])
("during", [1])
("durst", [1])
("duty", [1])
("dwell", [1])
("each", [2])
("ear", [3])
("earnest", [2])
("ears", [9])
("earth", [4])
("earths", [2])
("earthygross", [1])
("easy", [1])
("eat", [2])
("ecstasy", [1])
("eeds", [1])
("effect", [2])
("eighteen", [1])
("either", [6])
("elder", [1])
("eldest", [1])
("ell", [1])
("elm", [1])
("else", [10])
("elsewhere", [2])
("embarkd", [1])
("embellished", [1])
("embrace", [1])
("embraced", [1])
("embracements", [1])
("enamelled", [1])
("enchanting", [1])
("encounterd", [1])
("end", [14])
("engaged", [1])
("england", [1])
("enmity", [1])
("enough", [3])
("ensconce", [1])
("ensue", [2])
("enter", [38])
("entered", [1])
("enters", [1])
("entertain", [2])
("entrance", [1])
("ephesus", [163])
("epidamnum", [7])
("epidaurus", [1])
("ere", [7])
("ergo", [1])
("err", [1])
("errand", [1])
("error", [2])
("errors", [2])
("escape", [1])
("establish", [1])
("esteemed", [1])
("estimation", [1])
("estranged", [1])
("even", [12])
("evening", [2])
("ever", [4])
("everlasting", [1])
("every", [5])
("everywhere", [1])
("evil", [3])
("exceeding", [1])
("excellent", [1])
("except", [1])
("excludes", [1])
("excrement", [1])
("excuse", [3])
("execution", [1])
("exempt", [1])
("exeunt", [14])
("exit", [15])
("expect", [1])
("expedition", [1])
("expense", [1])
("experience", [1])
("exploits", [1])
("extremity", [3])
("eye", [11])
("eyes", [8])
("fable", [1])
("face", [13])
("factors", [1])
("fading", [1])
("fain", [1])
("fainting", [1])
("fair", [13])
("fairly", [1])
("fairs", [1])
("fairy", [1])
("faith", [4])
("fall", [3])
("fallacy", [1])
("falling", [1])
("falls", [1])
("false", [9])
("falsehood", [1])
("falsing", [1])
("fame", [1])
("familiarly", [1])
("famous", [1])
("far", [6])
("fare", [1])
("farewell", [1])
("fashion", [3])
("fast", [6])
("fasten", [1])
("fastend", [2])
("fat", [3])
("fatal", [1])
("fates", [1])
("father", [4])
("fault", [5])
("favour", [2])
("fear", [7])
("fearful", [1])
("feast", [4])
("feasted", [1])
("feather", [2])
("feathers", [1])
("fed", [1])
("fee", [1])
("feeble", [2])
("feeds", [1])
("feel", [5])
("feeling", [1])
("feet", [2])
("fell", [1])
("fellow", [5])
("felt", [2])
("feltst", [1])
("females", [1])
("festivity", [1])
("fetch", [14])
("fever", [2])
("fie", [5])
("field", [1])
("fiend", [3])
