("", [11])
("brisk", [1])
("bristle", [1])
("brock", [1])
("broke", [5])
("brook", [1])
("brother", [23])
("brothers", [4])
("brought", [10])
("brow", [1])
("brownist", [1])
("bruised", [1])
("buck", [1])
("bud", [1])
("buff", [2])
("buffet", [1])
("build", [1])
("building", [1])
("buildings", [1])
("bulk", [1])
("bumbaily", [1])
("burden", [4])
("burdened", [2])
("burdens", [1])
("buried", [1])
("burn", [6])
("burnd", [1])
("burns", [1])
("business", [5])
("but", [277])
("butterybar", [1])
("buttocks", [1])
("buttond", [1])
("buy", [7])
("by", [172])
("byr", [1])
("c", [7])
("cabin", [1])
("cake", [1])
("cakes", [1])
("calamity", [1])
("calendars", [1])
("calfs", [1])
("call", [28])
("calld", [9])
("called", [2])
("calling", [1])
("calls", [4])
("callst", [1])
("calm", [1])
("came", [21])
("cameo", [1])
("camest", [3])
("can", [54])
("canary", [2])
("candle", [1])
("candy", [1])
("cannonbullets", [1])
("cannot", [25])
("canopied", [1])
("canst", [2])
("cantons", [1])
("capacity", [3])
("caper", [2])
("capilet", [1])
("capon", [2])
("captain", [16])
("caracks", [1])
("carat", [1])
("carbuncles", [1])
("carcanet", [1])
("care", [14])
("careful", [3])
("cares", [2])
("carest", [1])
("carpet", [1])
("carriage", [2])
("carried", [2])
("carries", [1])
("carry", [2])
("cars", [1])
("carved", [1])
("case", [9])
("cast", [5])
("castiliano", [1])
("cataian", [1])
("catch", [8])
("catches", [2])
("catechise", [1])
("caterwauling", [1])
("cates", [1])
("caught", [1])
("cause", [10])
("caves", [1])
("celebration", [1])
("centaur", [7])
("ceremony", [1])
("certain", [7])
("certes", [1])
("cesario", [18])
("chain", [47])
("chaind", [1])
("chalky", [1])
("challenge", [8])
("challenged", [1])
("chamber", [2])
("chambermaid", [1])
("champaign", [1])
("chance", [3])
("change", [1])
("changeable", [1])
("changed", [4])
("chant", [1])
("chantry", [1])
("chapter", [1])
("character", [2])
("charge", [10])
("charged", [1])
("chargeful", [1])
("charges", [1])
("chargeth", [1])
("charitable", [1])
("charity", [1])
("charmd", [1])
("chase", [1])
("chased", [1])
("chat", [1])
("cheap", [1])
("cheat", [1])
("cheaters", [1])
("cheek", [4])
("cheer", [6])
("cheque", [1])
("cheques", [1])
("cherrypit", [1])
("cherrystone", [1])
("cheveril", [1])
("chid", [1])
("chide", [1])
("children", [3])
("chin", [3])
("choleric", [2])
("choose", [3])
("christian", [2])
("chuck", [1])
("church", [7])
("churchman", [1])
("churl", [1])
("churlish", [1])
("cicel", [1])
("circes", [1])
("circumstance", [3])
("circumstancewhat", [1])
("citizens", [1])
("city", [6])
("civil", [2])
("clad", [1])
("claim", [6])
("claims", [2])
("clamorous", [1])
("clamours", [1])
("clause", [1])
("clean", [2])
("clear", [5])
("clearly", [1])
("clearstores", [1])
("cleft", [1])
("cliffs", [1])
("clock", [5])
("clodpole", [1])
("clog", [1])
("cloistress", [1])
("close", [3])
("clothes", [1])
("clown", [115])
("cloyment", [1])
("coasting", [1])
("coats", [1])
("cockatrices", [1])
("cockney", [1])
("coffer", [1])
("coffin", [1])
("cohere", [1])
("coil", [1])
("cold", [6])
("coldly", [1])
("collier", [1])
("colour", [4])
("colours", [2])
("combination", [1])
("come", [119])
("comedian", [1])
("comes", [36])
("comesone", [1])
("comest", [1])
("comfort", [6])
("comfortable", [1])
("comfortless", [1])
("coming", [7])
("command", [6])
("commands", [1])
("commend", [2])
("commendation", [1])
("commended", [2])
("commends", [2])
("comment", [1])
("commerce", [1])
("commission", [2])
("commit", [1])
("committed", [1])
("commodities", [1])
("commodity", [1])
("common", [5])
("communicate", [1])
("compact", [3])
("companion", [1])
("company", [11])
("compare", [2])
("compass", [3])
("competent", [1])
("competitors", [1])
("complain", [2])
("complainest", [1])
("complexion", [4])
("compliment", [1])
("comptible", [1])
("computation", [1])
("con", [1])
("conceal", [2])
("concealment", [1])
("conceit", [3])
("conceited", [1])
("conceived", [1])
("concerning", [1])
("concerns", [1])
("conclude", [2])
("conclusion", [4])
("conclusions", [1])
("concurs", [1])
("condemn", [1])
("condemned", [1])
("condition", [1])
("conduct", [1])
("conduits", [1])
("confederate", [1])
("confederates", [2])
("conference", [1])
("confess", [5])
("confine", [3])
("confirm", [1])
("confirmd", [1])
("confirms", [2])
("confiscate", [2])
("confounds", [1])
("confusion", [1])
("conjure", [3])
("conjurer", [3])
("conquers", [1])
("cons", [1])
("consanguineous", [1])
("conscience", [2])
("consecrate", [1])
("consecrated", [1])
("consent", [2])
("consequence", [1])
("consequently", [1])
("consider", [2])
("consideration", [1])
("consist", [1])
("consists", [1])
("consonancy", [1])
("consort", [1])
("constancy", [1])
("constant", [3])
("constantly", [1])
("constellation", [1])
("constitution", [1])
("constrained", [2])
("construction", [2])
("construe", [1])
("contagion", [2])
("contagious", [2])
("contaminate", [1])
("contemned", [1])
("contemplation", [1])
("contemplative", [1])
("contempt", [6])
("content", [3])
("continent", [1])
("continuance", [1])
("continue", [1])
("contract", [1])
("contracted", [1])
("contraries", [1])
("contrary", [1])
("control", [1])
("controls", [1])
("controversy", [1])
("conveniently", [1])
("convents", [1])
("converse", [1])
("convey", [2])
("conveyd", [2])
("cooling", [1])
("cools", [1])
("copy", [2])
("coranto", [1])
("cords", [1])
("corinth", [6])
("corner", [1])
("corpse", [1])
("corrupter", [1])
("corruption", [2])
("cost", [2])
("could", [32])
("couldst", [1])
("counsel", [3])
("count", [14])
("counter", [1])
("counterfeit", [2])
("counterfeits", [1])
("countermands", [1])
("countess", [2])
("countries", [1])
("country", [2])
("countryman", [1])
("countrymen", [2])
("counts", [4])
("countys", [1])
("couplet", [1])
("courage", [1])
("course", [3])
("court", [2])
("courteous", [1])
("courtesies", [1])
("courtesy", [2])
("courtezan", [15])
("courtezans", [1])
("courtier", [1])
("cousin", [7])
("coverd", [1])
("covetous", [1])
("covetousness", [1])
("coward", [6])
("cowardship", [1])
("coxcomb", [5])
("coystrill", [1])
("coz", [1])
("cozenage", [1])
("coziers", [1])
("crackd", [1])
("craft", [1])
("cram", [1])
("crammed", [1])
("crannies", [1])
("crave", [2])
("craves", [1])
("create", [1])
("creature", [5])
("creatures", [1])
("credit", [6])
("creditor", [1])
("creeks", [1])
("creep", [2])
("cressida", [2])
("cried", [1])
("cries", [4])
("crime", [1])
("crooked", [1])
("cross", [2])
("crossgarterd", [1])
("crossgartered", [7])
("crossgartering", [1])
("crow", [6])
("crown", [3])
("crownd", [1])
("crowned", [1])
("crowner", [1])
("cruel", [4])
("cruellst", [1])
("cruelty", [3])
("crumbs", [1])
("crupper", [1])
("crush", [1])
("cry", [7])
("cs", [2])
("cub", [1])
("cubiculo", [1])
("cuckold", [1])
("cuckoldmad", [1])
("cucullus", [1])
("cudgel", [1])
("cuff", [1])
("cunning", [5])
("cup", [2])
("cur", [1])
("curate", [2])
("curio", [12])
("curl", [1])
("curse", [1])
("curst", [1])
("curtain", [2])
("curtal", [1])
("custody", [2])
("customers", [1])
("cut", [4])
("cuts", [1])
("cypress", [2])
("d", [1])
("dad", [1])
("dagger", [2])
("daily", [1])
("dainties", [1])
("dainty", [1])
("dalliance", [2])
("dallies", [1])
("dally", [3])
("dam", [1])
("damask", [1])
("dame", [1])
("damn", [1])
("damned", [2])
("dance", [1])
("dancing", [1])
("danger", [4])
("dangers", [1])
("dankish", [1])
("dare", [3])
("dares", [1])
("darest", [4])
("dark", [8])
("darkly", [1])
("darkness", [7])
("darkworking", [1])
("date", [1])
("daughter", [2])
("daughters", [1])
("daws", [1])
("day", [26])
("daybed", [1])
("daylight", [1])
("days", [3])
("dead", [3])
("deadlooking", [1])
