("", [42])
("angerd", [1])
("angers", [1])
("angle", [4])
("angled", [1])
("angling", [2])
("angry", [36])
("anheires", [1])
("anight", [1])
("animal", [2])
("animals", [4])
("ann", [1])
("anna", [1])
("anne", [76])
("annes", [4])
("annothanize", [1])
("annoy", [1])
("annoyance", [1])
("annoyd", [1])
("annual", [3])
("anointed", [3])
("anon", [39])
("anoneven", [1])
("another", [172])
("anothers", [7])
("anotherwho", [1])
("answer", [135])
("answerable", [1])
("answerd", [18])
("answered", [9])
("answering", [6])
("answers", [10])
("answerst", [2])
("ant", [17])
("antechamber", [3])
("antenor", [15])
("antenorides", [1])
("anthony", [2])
("anthropophaginian", [1])
("antic", [1])
("anticipating", [1])
("anticly", [1])
("antics", [1])
("antigonus", [28])
("antioch", [10])
("antiochus", [29])
("antiochuson", [1])
("antipholus", [215])
("antipholuses", [1])
("antipodes", [2])
("antiquary", [1])
("antique", [6])
("antiquity", [2])
("antiquius", [1])
("antonio", [243])
("antonioo", [1])
("antonios", [7])
("antony", [2])
("any", [379])
("anys", [1])
("anything", [5])
("apace", [8])
("apart", [16])
("apartment", [2])
("apartments", [1])
("ape", [13])
("apebearer", [1])
("apes", [8])
("apex", [1])
("apiece", [1])
("apish", [1])
("apollo", [15])
("apollos", [7])
("apology", [2])
("apostraphas", [1])
("appalled", [1])
("appals", [1])
("apparel", [26])
("apparelld", [4])
("apparent", [5])
("apparently", [1])
("apparition", [2])
("apparitions", [3])
("appeal", [4])
("appear", [51])
("appearance", [1])
("appeard", [5])
("appeared", [5])
("appearer", [1])
("appeareth", [1])
("appearing", [2])
("appears", [24])
("appease", [1])
("appeased", [1])
("appendix", [1])
("appertain", [1])
("appertaining", [2])
("appertainments", [1])
("appertinent", [1])
("appetite", [16])
("appetites", [1])
("applaud", [1])
("applause", [8])
("apple", [6])
("apples", [1])
("appletart", [1])
("appliance", [1])
("appliances", [1])
("applies", [1])
("apply", [9])
("appoint", [6])
("appointed", [17])
("appointment", [5])
("appointments", [1])
("apprehend", [5])
("apprehended", [5])
("apprehends", [2])
("apprehension", [3])
("apprehensions", [2])
("approach", [25])
("approachd", [3])
("approached", [1])
("approaches", [2])
("approaching", [4])
("approbation", [8])
("approof", [1])
("appropriation", [1])
("approve", [6])
("approved", [7])
("approvers", [1])
("appurtenances", [1])
("april", [6])
("aprils", [1])
("apron", [1])
("apt", [21])
("apter", [1])
("aptly", [3])
("aptness", [1])
("aquavitae", [4])
("aquilon", [1])
("aquitaine", [8])
("arabia", [2])
("arabian", [1])
("arbitrate", [1])
("arbitrator", [1])
("arbitrement", [2])
("arbour", [1])
("arch", [3])
("archd", [1])
("arched", [1])
("archer", [2])
("archidamus", [8])
("archvillain", [1])
("arden", [6])
("ardour", [1])
("are", [1271])
("arehere", [1])
("areo", [1])
("arepairing", [1])
("arethese", [1])
("argentine", [1])
("argier", [2])
("argosies", [3])
("argosy", [4])
("argues", [1])
("arguing", [1])
("argument", [29])
("arguments", [4])
("argus", [3])
("ariachnes", [1])
("ariel", [89])
("ariels", [1])
("aright", [1])
("arion", [1])
("arise", [11])
("aristotle", [1])
("aristotles", [1])
("arithmetic", [3])
("ark", [1])
("arm", [26])
("armado", [119])
("armadoes", [1])
("armados", [2])
("armd", [10])
("armearmecommends", [1])
("armed", [12])
("armies", [1])
("armigero", [2])
("arming", [3])
("armipotent", [2])
("armour", [8])
("armourer", [1])
("armours", [2])
("arms", [52])
("army", [13])
("arose", [1])
("arow", [1])
("arragon", [9])
("arraign", [2])
("arraigned", [1])
("arrant", [2])
("arras", [4])
("array", [5])
("arrearages", [1])
("arrest", [10])
("arrested", [9])
("arrests", [1])
("arrival", [3])
("arrive", [2])
("arrived", [11])
("arrogance", [3])
("arrogant", [1])
("arrow", [4])
("arrows", [5])
("art", [303])
("arteries", [1])
("article", [6])
("articles", [3])
("artificial", [1])
("artillery", [1])
("artist", [2])
("arts", [9])
("artsman", [1])
("arviragus", [62])
("as", [2243])
("ascend", [1])
("ascends", [1])
("ascension", [1])
("ascribe", [1])
("ashamed", [14])
("ashes", [1])
("ashore", [9])
("ashwednesday", [1])
("asia", [2])
("aside", [182])
("asin", [1])
("ask", [65])
("askance", [1])
("askd", [3])
("askdtwas", [1])
("asked", [6])
("asketh", [1])
("asking", [3])
("asks", [3])
("askst", [1])
("askwherefore", [1])
("asleep", [13])
("aspect", [8])
("aspects", [2])
("aspersion", [1])
("aspicious", [1])
("aspiration", [1])
("aspire", [2])
("ass", [48])
("assail", [2])
("assailant", [1])
("assailants", [1])
("assaild", [1])
("assailed", [1])
("assault", [4])
("assaults", [3])
("assay", [3])
("assayd", [1])
("assaying", [1])
("assembled", [1])
("assemblies", [2])
("assembly", [4])
("assence", [1])
("asses", [5])
("asshead", [1])
("assignd", [1])
("assinego", [1])
("assist", [13])
("assistance", [2])
("assistant", [1])
("assistants", [1])
("assisted", [2])
("assisting", [1])
("assubjugate", [1])
("assume", [7])
("assumed", [1])
("assumes", [2])
("assuming", [1])
("assurance", [16])
("assure", [24])
("assured", [14])
("assuredly", [1])
("astronomer", [1])
("astronomers", [1])
("asunder", [2])
("at", [937])
("atalantas", [2])
("ate", [1])
("ates", [2])
("athenian", [1])
("athens", [1])
("athwart", [5])
("atomies", [2])
("atone", [2])
("atonements", [1])
("ats", [1])
("attach", [4])
("attachd", [3])
("attachment", [1])
("attain", [3])
("attaind", [1])
("attainder", [1])
("attaint", [2])
("attempt", [14])
("attemptable", [1])
("attempted", [1])
("attempts", [1])
("attend", [40])
("attendance", [2])
("attendant", [7])
("attendants", [41])
("attendantso", [1])
("attended", [10])
("attendeth", [1])
("attending", [11])
("attends", [10])
("attendst", [1])
("attent", [1])
("attention", [2])
("attentive", [3])
("attentiveness", [1])
("attest", [2])
("attested", [1])
("attire", [5])
("attired", [4])
("attires", [1])
("attorney", [2])
("attorneyd", [1])
("attorneyed", [1])
("attractions", [2])
("attracts", [1])
("attribute", [4])
("attributes", [1])
("attributive", [1])
("au", [1])
("audacious", [2])
("audaciously", [1])
("audacity", [1])
("audible", [1])
("audience", [8])
("audit", [1])
("audrey", [30])
("audreyas", [1])
("aught", [22])
("augmentation", [1])
("augmenting", [1])
("august", [1])
("augustus", [5])
("aunt", [5])
("aunts", [1])
("auspicious", [3])
("aussi", [1])
("austere", [2])
("austerely", [2])
("austereness", [1])
("austerity", [1])
("authentic", [3])
("author", [3])
("authorities", [2])
("authority", [21])
("authors", [6])
("autolycus", [75])
("autumn", [3])
("avail", [1])
("avails", [1])
("avaunt", [4])
("avenue", [1])
("averting", [1])
("aves", [1])
("avised", [3])
("avoid", [19])
("avoids", [1])
("avouch", [4])
("avouches", [1])
("avow", [1])
("awake", [35])
("awaked", [6])
("awakend", [1])
("awakens", [1])
("awakes", [2])
("awaking", [2])
("awards", [2])
("away", [270])
("awe", [5])
("aweary", [2])
("awful", [2])
("awhile", [20])
("awkward", [2])
("awooing", [1])
("awork", [1])
("awry", [1])
("axe", [5])
("axletree", [1])
("ay", [285])
("aye", [7])
("ayear", [1])
("azure", [1])
("azured", [2])
("b", [5])
("ba", [2])
("babble", [2])
("babbling", [3])
("babe", [18])
("babes", [4])
("baboon", [1])
("baboons", [1])
("baby", [5])
("babydaughter", [1])
("babylon", [1])
("babys", [1])
("baccare", [1])
("bacchus", [1])
("bachelor", [8])
("bachelors", [1])
("back", [69])
("backd", [2])
("backdoor", [2])
("backfriend", [1])
("backs", [6])
("backside", [1])
("backtrick", [1])
("backward", [8])
("backwards", [1])
("backwounding", [1])
("bacon", [1])
("bad", [44])
("bade", [15])
("badest", [1])
("badge", [3])
("badges", [2])
("badness", [1])
("baes", [1])
("baffle", [1])
("baffled", [1])
("bag", [6])
("baggage", [7])
("bagpipe", [3])
("bagpiper", [1])
("bags", [5])
("bail", [7])
("bailiff", [1])
("baille", [1])
("bait", [9])
("baited", [2])
("baits", [1])
("bake", [1])
("baked", [2])
("baking", [1])
("balance", [2])
("bald", [7])
("baldpate", [1])
("baldpated", [1])
("baldrick", [1])
("balk", [1])
("balked", [1])
("ball", [1])
("ballad", [10])
("balladmakers", [2])
("ballads", [3])
("ballast", [1])
("ballasting", [1])
("balls", [1])
("balm", [3])
("balmd", [1])
("balsamum", [1])
("balthasar", [21])
("balthazar", [9])
("ban", [2])
("banbury", [1])
("band", [8])
("bandied", [1])
("bands", [2])
("bandsmay", [1])
("bandy", [2])
("bane", [3])
("baned", [1])
("banged", [1])
("banish", [5])
("banishd", [15])
("banishdis", [1])
("banishdo", [1])
("banished", [7])
("banishment", [5])
("bank", [4])
("bankrupt", [5])
("banks", [7])
("banners", [1])
("banns", [2])
("banquet", [11])
("banqueting", [1])
("baptista", [102])
("baptistas", [11])
("baptists", [1])
("bar", [11])
("barbarian", [1])
("barbarism", [3])
("barbarous", [6])
("barbary", [2])
("barbason", [1])
("barbers", [4])
("bard", [1])
("bardolph", [33])
("bare", [13])
("bared", [1])
("barefoot", [3])
("bareheaded", [1])
("barely", [2])
("barful", [1])
("bargain", [9])
("bargaind", [1])
("bargained", [1])
("bargains", [2])
("barge", [7])
("bark", [20])
("barkest", [1])
("barks", [4])
("barley", [1])
("barn", [1])
("barnacles", [1])
("barnardine", [24])
("barnardines", [1])
("barne", [2])
("barns", [2])
("baron", [1])
("barrabas", [1])
("barrd", [5])
("barren", [15])
("barrenness", [1])
("barricado", [1])
("barricadoes", [1])
("barrow", [1])
("bars", [5])
("bartholmew", [1])
("base", [37])
("baseless", [1])
("baseness", [9])
("baser", [4])
("bases", [2])
("basest", [4])
("bashful", [3])
("basilisk", [2])
("basin", [2])
("basins", [1])
("basis", [3])
("baskd", [1])
("basket", [23])
("bass", [1])
("bassanio", [115])
("bassanios", [7])
("bassviol", [1])
("basta", [1])
("bastard", [25])
("bastards", [6])
("bastardsas", [1])
("basted", [1])
("bastes", [1])
("bastinado", [1])
("basting", [2])
("batch", [1])
("bate", [6])
("batebut", [1])
("bated", [4])
("batfowling", [1])
("bath", [1])
("bathe", [2])
("bathed", [1])
("bathing", [1])
("batlet", [1])
("bats", [2])
("batter", [1])
("battering", [1])
("batters", [3])
("battery", [5])
("battle", [14])
("bauble", [5])
("baubles", [1])
("bawbling", [1])
("bawcock", [2])
("bawd", [69])
("bawdborn", [1])
("bawdry", [2])
("bawds", [3])
("bawdy", [3])
("bawdyhouses", [1])
("bawling", [1])
("bay", [12])
("bays", [1])
("be", [2585])
("beach", [2])
("beacon", [2])
("bead", [1])
("beadle", [2])
("beads", [2])
("beagle", [1])
("beak", [2])
("beam", [5])
("beams", [5])
("bear", [173])
("bearbaiting", [2])
("bearbaitings", [1])
("beard", [40])
("bearded", [1])
("beards", [6])
("bearer", [2])
("beareth", [1])
("bearherd", [1])
("bearing", [15])
("bearingcloth", [1])
("bears", [36])
("bearst", [2])
("bearts", [1])
("bearward", [1])
("beast", [23])
("beastliest", [1])
("beastly", [8])
("beasts", [10])
("beat", [51])
("beaten", [21])
("beating", [16])
("beatrice", [159])
("beats", [9])
("beau", [21])
("beauteous", [12])
("beauties", [4])
("beautiful", [8])
("beautify", [1])
("beauty", [73])
("beautyi", [1])
("beautys", [7])
("beaver", [1])
("bebut", [1])
("became", [11])
("because", [64])
("bechanced", [1])
("beck", [1])
("beckoning", [1])
("become", [60])
("becomed", [1])
("becomes", [28])
("becomest", [1])
("becoming", [5])
("bed", [97])
("bedazzled", [1])
("bedchamber", [5])
("bedded", [1])
("bede", [1])
("bedecking", [1])
("bedfellow", [6])
("bedfellowo", [1])
("bedfellows", [1])
("bedimmd", [1])
("bedmate", [1])
("bedrid", [2])
("bedright", [1])
("beds", [7])
("bedswerver", [1])
("bedtime", [1])
("bedwork", [1])
("bee", [2])
("beef", [7])
("beefs", [1])
("beefwitted", [1])
("been", [284])
("bees", [2])
("beest", [7])
("beetle", [2])
("beetleheaded", [1])
("beetles", [1])
("befal", [2])
("befall", [6])
("befalln", [1])
("befalls", [1])
("befell", [2])
("befit", [1])
("befits", [3])
("befitting", [1])
("before", [280])
("befriended", [1])
("befriends", [1])
("beg", [28])
("began", [10])
("beganst", [1])
("begar", [1])
("beget", [5])
("begets", [3])
("begetst", [1])
("begetting", [2])
("beggar", [27])
("beggard", [1])
("beggarly", [2])
("beggars", [9])
("beggary", [4])
("beggd", [9])
("begged", [1])
("begging", [3])
("begin", [48])
("beginnersgan", [1])
("beginning", [9])
("begins", [19])
("begnawn", [1])
("begone", [1])
("begot", [11])
("begotten", [1])
("begs", [1])
("beguile", [6])
("beguiled", [4])
("beguiles", [3])
("begun", [9])
("behalf", [10])
("behalfs", [1])
("behavior", [15])
("behaviors", [4])
("beheaded", [2])
("beheld", [14])
("behest", [1])
("behind", [47])
("behinddoorwork", [1])
("behindhand", [1])
("behold", [46])
("beholder", [1])
("beholders", [2])
("beholdest", [1])
("beholding", [10])
("beholds", [1])
("beholdst", [1])
("behove", [1])
("behoves", [2])
("being", [262])
("beingpart", [1])
("belarius", [80])
("belch", [173])
("belchd", [1])
("belches", [1])
("belching", [2])
("belfry", [1])
("belgia", [1])
("belie", [2])
